Owner Name 1/,State,County,Country,Number of Acres,Acquisition Year,Lat,lng,Owner Type,Principal Place of Business,Secondary Interest in China,Secondary Interest in Iran,Secondary Interest in Russia,Secondary Intereset in North Korea
"Great Western Wind Energy, LLC",Oklahoma,Ellis,998 - NO FOREIGN INVESTOR LISTED,16523.0,2016.0,36.2184,-99.7546,Other,840.0,,,,
"Great Western Wind Energy, LLC",Oklahoma,Woodward,998 - NO FOREIGN INVESTOR LISTED,11666.0,2016.0,36.4227,-99.2651,Other,840.0,,,,
"Deep Water Raanch, LLC",Nebraska,Lincoln,999 - NO PREDOMINANT COUNTRY CODE,2848.0,2020.0,41.0477,-100.7453,Other,840.0,,,,
"Risland Mantua, LLC",Texas,Collin,998 - NO FOREIGN INVESTOR LISTED,4.8986,2018.0,33.188,-96.5724,Other,840.0,,,,
FS San Augustine LLC,Texas,Tyler,998 - NO FOREIGN INVESTOR LISTED,44496.0,2018.0,30.7712,-94.3766,Corporation,840.0,,,,
FS San Augustine LLC,Texas,Newton,998 - NO FOREIGN INVESTOR LISTED,43957.44,2018.0,30.7863,-93.7448,Corporation,840.0,,,,
"Acer Klamath Forest, LLC",California,Siskiyou,999 - NO PREDOMINANT COUNTRY CODE,97710.61,2022.0,41.5927,-122.5404,Other,840.0,,,,
"FS LOUISIANA II, LLC",Louisiana,Vernon,998 - NO FOREIGN INVESTOR LISTED,36392.0,2018.0,31.1083,-93.1843,Other,840.0,,,,
ORM Timber Fund III (Reit) Inc,Oregon,Columbia,999 - NO PREDOMINANT COUNTRY CODE,12884.0,2014.0,45.9438,-123.0883,Corporation,840.0,,,,
S.D. WARREN CO.,Maine,Somerset,999 - NO PREDOMINANT COUNTRY CODE,2807.0,1994.0,45.5139,-69.9589,Corporation,840.0,,,,
"Lakeswind Power Partners, LLC",Minnesota,Clay,998 - NO FOREIGN INVESTOR LISTED,9342.61,2015.0,46.8923,-96.4906,Other,840.0,,,,
ORM Timber Fund III (Reit) Inc,Washington,Grays Harbor,998 - NO FOREIGN INVESTOR LISTED,15133.0,2015.0,47.1503,-123.7735,Corporation,840.0,,,,
DOUGLAS TIMBERLANDS OF OREGON,Oregon,Douglas,998 - NO FOREIGN INVESTOR LISTED,41104.0,1981.0,43.2797,-123.1665,Partnership,840.0,,,,
"Beaux Freres, LLC",Oregon,Yamhill,998 - NO FOREIGN INVESTOR LISTED,128.9,2017.0,45.2326,-123.3081,Other,840.0,,,,
"FS LOUISIANA II, LLC",Louisiana,Sabine,998 - NO FOREIGN INVESTOR LISTED,23484.08,2018.0,31.564,-93.5547,Other,840.0,,,,
ORM Timber Fund III (Reit) Inc,California,Siskiyou,999 - NO PREDOMINANT COUNTRY CODE,18914.0,2012.0,41.5927,-122.5404,Corporation,840.0,,,,
"LYME EMPORIUM HIGHLANDS II, LLC",Pennsylvania,McKean,999 - NO PREDOMINANT COUNTRY CODE,15104.0,2018.0,41.8076,-78.569,Other,840.0,,,,
HTFF Reit Inc,Alabama,Coosa,998 - NO FOREIGN INVESTOR LISTED,19839.0,2018.0,32.9362,-86.2477,Corporation,840.0,,,,
"Lakeswind Power Partners, LLC",Minnesota,Otter Tail,998 - NO FOREIGN INVESTOR LISTED,390.005,2015.0,46.4088,-95.708,Other,840.0,,,,
Brule River LLC,Wisconsin,Douglas,999 - NO PREDOMINANT COUNTRY CODE,64903.0,2017.0,46.4329,-91.9162,Other,840.0,,,,
"Raymond Wind Farm, LC",Texas,Cameron,999 - NO PREDOMINANT COUNTRY CODE,4891.458037,2019.0,26.1332,-97.5186,Other,840.0,,,,
"HTFF TX-T, LLC",Texas,Polk,999 - NO PREDOMINANT COUNTRY CODE,13234.0,2023.0,30.7927,-94.83,Other,840.0,0.0,0.0,0.0,0.0
CF/FIA LLC,Wisconsin,Marinette,999 - NO PREDOMINANT COUNTRY CODE,18789.0,2011.0,45.3834,-88.0337,Other,840.0,,,,
"West Raymond Wind Farm, LLC",Texas,Cameron,999 - NO PREDOMINANT COUNTRY CODE,1778.135185,2019.0,26.1332,-97.5186,Other,840.0,,,,
"Terra-Gen Development Company, LLC",Texas,Cameron,999 - NO PREDOMINANT COUNTRY CODE,857.41,2020.0,26.1332,-97.5186,Other,840.0,,,,
"Terra-Gen Development Company, LLC",Texas,Cameron,999 - NO PREDOMINANT COUNTRY CODE,240.0,2020.0,26.1332,-97.5186,Other,840.0,,,,
"Terra-Gen Development Company, LLC",Texas,Cameron,999 - NO PREDOMINANT COUNTRY CODE,1360.74,2021.0,26.1332,-97.5186,Other,840.0,,,,
"STA Pharmaceutical USA, Co",Delaware,New Castle,999 - NO PREDOMINANT COUNTRY CODE,189.55,2021.0,39.5768,-75.6527,Corporation,840.0,1.0,0.0,0.0,0.0
"LRT Olympus, LLC",Oregon,Coos,998 - NO FOREIGN INVESTOR LISTED,7400.0,2016.0,43.1742,-124.0594,Other,840.0,,,,
"BLENHEIM PROPERTIES, LTD.",Georgia,Carroll,998 - NO FOREIGN INVESTOR LISTED,15414.0,2016.0,33.5828,-85.0798,Other,840.0,,,,
CF/FIA LLC,Wisconsin,Florence,999 - NO PREDOMINANT COUNTRY CODE,37978.0,2011.0,45.8485,-88.3981,Other,840.0,,,,
SF U.S. REIT TX Propco LP,Texas,Dallam,998 - NO FOREIGN INVESTOR LISTED,5668.82,2023.0,36.2779,-102.6022,Partnership,840.0,0.0,0.0,0.0,0.0
Hanson Aggregates LLC,Oklahoma,Johnston,999 - NO PREDOMINANT COUNTRY CODE,3471.0,2018.0,34.3165,-96.6606,Corporation,840.0,,,,
"Magnolia Almonds, LLC",California,Kern,998 - NO FOREIGN INVESTOR LISTED,870.0,2019.0,35.3426,-118.7301,Corporation,840.0,,,,
"Monette Farms USA, Inc.",Montana,Big Horn,998 - NO FOREIGN INVESTOR LISTED,38274.856,2021.0,45.4234,-107.4898,Corporation,840.0,,,,
FS San Augustine LLC,Texas,Polk,998 - NO FOREIGN INVESTOR LISTED,11708.464,2018.0,30.7927,-94.83,Corporation,840.0,,,,
FS San Augustine LLC,Texas,Hardin,998 - NO FOREIGN INVESTOR LISTED,11636.556,2018.0,30.3324,-94.3902,Corporation,840.0,,,,
"Magnolia Almonds, LLC",California,Kern,998 - NO FOREIGN INVESTOR LISTED,755.0,2019.0,35.3426,-118.7301,Corporation,840.0,,,,
WEYERHAEUSER-VICWOOD PARTNERSHIP,Washington,Thurston,998 - NO FOREIGN INVESTOR LISTED,1153.0,1990.0,46.9256,-122.8333,Partnership,840.0,,,,
"FS LOUISIANA II, LLC",Louisiana,Natchitoches,998 - NO FOREIGN INVESTOR LISTED,9823.0,2018.0,31.7234,-93.0962,Other,840.0,,,,
"FIA TIMBER PARTNERS II, LP",South Carolina,Georgetown,999 - NO PREDOMINANT COUNTRY CODE,8149.0,2012.0,33.4343,-79.3327,Partnership,840.0,,,,
"Bear Island Forest, LLC",Virginia,Prince George,999 - NO PREDOMINANT COUNTRY CODE,10431.0,2015.0,37.1865,-77.2242,Other,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Oregon,Coos,999 - NO PREDOMINANT COUNTRY CODE,5154.0,2013.0,43.1742,-124.0594,Partnership,840.0,,,,
"SF LPRC, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,2580.59,2023.0,34.2683,-91.9304,Other,840.0,0.0,0.0,0.0,0.0
"Cantusee Timberlands, LLC",South Carolina,Dorchester,999 - NO PREDOMINANT COUNTRY CODE,7442.0,2014.0,33.0794,-80.4068,Other,840.0,,,,
"FS LOUISIANA II, LLC",Louisiana,Beauregard,998 - NO FOREIGN INVESTOR LISTED,8933.0,2018.0,30.6486,-93.3432,Other,840.0,,,,
"HTFF SE-T, LLC",South Carolina,Berkeley,998 - NO FOREIGN INVESTOR LISTED,16477.0,2023.0,33.1973,-79.9522,Other,840.0,0.0,0.0,0.0,0.0
"Delta Lands, LLC",Mississippi,Bolivar,999 - NO PREDOMINANT COUNTRY CODE,3627.0,2013.0,33.7971,-90.8805,Other,840.0,,,,
EVERGREEN TIMBERLANDS CORP.,Georgia,Putnam,998 - NO FOREIGN INVESTOR LISTED,23621.0,1983.0,33.3218,-83.3728,Corporation,840.0,,,,
"HTFF SE-T, LLC",South Carolina,Marlboro,998 - NO FOREIGN INVESTOR LISTED,12379.0,2023.0,34.602,-79.6786,Other,840.0,0.0,0.0,0.0,0.0
"FIA TIMBER PARTNERS II, LP",Oregon,Lane,999 - NO PREDOMINANT COUNTRY CODE,2477.0,2012.0,43.9387,-122.8479,Partnership,840.0,,,,
HTFF Reit Inc,Alabama,Cleburne,998 - NO FOREIGN INVESTOR LISTED,7882.74,2018.0,33.6745,-85.5188,Corporation,840.0,,,,
"HTFF SE-A, LLC",North Carolina,Bladen,999 - NO PREDOMINANT COUNTRY CODE,1147.35,2023.0,34.6146,-78.5637,Other,840.0,0.0,0.0,0.0,0.0
Garfield Creek LLC,Colorado,Garfield,999 - NO PREDOMINANT COUNTRY CODE,2143.0,2012.0,39.5993,-107.904,Corporation,840.0,,,,
"Jessen Regenerative Farms, LLC",Wyoming,Laramie,998 - NO FOREIGN INVESTOR LISTED,7726.34,2023.0,41.307,-104.6895,Other,840.0,0.0,0.0,0.0,0.0
"FIA TIMBER PARTNERS II, LP",Georgia,Talbot,999 - NO PREDOMINANT COUNTRY CODE,9000.0,2011.0,32.6995,-84.533,Partnership,840.0,,,,
TITLE INSURANCE CO. OF MINNESOTA (ACREAGEM,Arizona,Maricopa,999 - NO PREDOMINANT COUNTRY CODE,387.0,1985.0,33.349,-112.4915,Trust,840.0,,,,
ORM Timber Fund III (Reit) Inc,Washington,Grays Harbor,999 - NO PREDOMINANT COUNTRY CODE,3646.0,2013.0,47.1503,-123.7735,Corporation,840.0,,,,
"Cantusee Timberlands, LLC",South Carolina,Charleston,999 - NO PREDOMINANT COUNTRY CODE,5359.0,2014.0,32.8348,-79.953,Other,840.0,,,,
"SF LPRC, LLC",Indiana,Benton,998 - NO FOREIGN INVESTOR LISTED,756.04,2023.0,40.6063,-87.3109,Other,840.0,0.0,0.0,0.0,0.0
OKEELANTA CORP.,Florida,Palm Beach,998 - NO FOREIGN INVESTOR LISTED,90385.0,1985.0,26.6476,-80.4655,Corporation,840.0,,,,
"SUNFLOWER COUNTY FARMS, LLC",Mississippi,Bolivar,998 - NO FOREIGN INVESTOR LISTED,2687.97,2016.0,33.7971,-90.8805,Other,840.0,,,,
HTFF Reit Inc,Alabama,Bibb,998 - NO FOREIGN INVESTOR LISTED,7032.0,2018.0,32.9986,-87.1265,Corporation,840.0,,,,
"California Timberlands 2, LLC",California,Humboldt,998 - NO FOREIGN INVESTOR LISTED,5006.0,2016.0,40.6993,-123.8756,Other,840.0,,,,
Global Ag Properties USA LLC,Indiana,Boone,999 - NO PREDOMINANT COUNTRY CODE,1425.0,2011.0,40.0508,-86.4687,Other,840.0,,,,
"NEBLETT FARN, LLC",Mississippi,Coahoma,998 - NO FOREIGN INVESTOR LISTED,4835.0,2013.0,34.23,-90.6018,Other,840.0,,,,
"Acer Klamath Forest, LLC",California,Trinity,999 - NO PREDOMINANT COUNTRY CODE,10660.0,2022.0,40.6507,-123.1126,Other,840.0,,,,
FFR River Bend Inc.,New Mexico,Dona Ana,998 - NO FOREIGN INVESTOR LISTED,625.949,2016.0,32.3526,-106.8328,Corporation,840.0,,,,
"SF LPRC, LLC",Illinois,De Kalb,998 - NO FOREIGN INVESTOR LISTED,620.94,2023.0,41.8935,-88.7703,Other,840.0,0.0,0.0,0.0,0.0
"Cantusee Timberlands, LLC",South Carolina,Charleston,999 - NO PREDOMINANT COUNTRY CODE,4021.0,2015.0,32.8348,-79.953,Other,840.0,,,,
SOUTHPORT VILLAGE,South Carolina,Spartanburg,999 - NO PREDOMINANT COUNTRY CODE,464.62,2019.0,34.9309,-81.9908,Corporation,840.0,,,,
Hacienda Springs LLC,Texas,Kendall,998 - NO FOREIGN INVESTOR LISTED,319.0,2009.0,29.9447,-98.7115,Other,840.0,,,,
"FLO FUND DOMESTIC, LLC",Arkansas,Phillips,998 - NO FOREIGN INVESTOR LISTED,2312.86,2014.0,34.4274,-90.8489,Other,840.0,,,,
"PAN CONTINENTAL PROP., CORP.",Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,105.0,1981.0,25.615,-80.5624,Corporation,840.0,,,,
CAL FARM INVEST,California,Kern,999 - NO PREDOMINANT COUNTRY CODE,3766.0,1981.0,35.3426,-118.7301,Corporation,840.0,,,,
Hancock Timberland Farmland Fund,Arkansas,Ashley,999 - NO PREDOMINANT COUNTRY CODE,2171.87,2018.0,33.1912,-91.7685,Corporation,840.0,,,,
HTFF Reit Inc,Alabama,Tallapoosa,998 - NO FOREIGN INVESTOR LISTED,5320.57,2018.0,32.8624,-85.7975,Corporation,840.0,,,,
CATAWBA GATE,South Carolina,Lancaster,998 - NO FOREIGN INVESTOR LISTED,929.96,2016.0,34.6867,-80.7054,Corporation,840.0,,,,
"HTFF SE-T, LLC",South Carolina,Florence,998 - NO FOREIGN INVESTOR LISTED,7939.0,2023.0,34.0245,-79.703,Other,840.0,0.0,0.0,0.0,0.0
"Big Berry Bayou Farms, LLC",Arkansas,Ashley,998 - NO FOREIGN INVESTOR LISTED,2800.9,2013.0,33.1912,-91.7685,Other,840.0,,,,
"HTFF LS, LLC",Michigan,Lenawee,998 - NO FOREIGN INVESTOR LISTED,1882.0,2019.0,41.8951,-84.0664,Other,840.0,,,,
HTFF Reit Inc,Alabama,Clay,998 - NO FOREIGN INVESTOR LISTED,4408.0,2018.0,33.269,-85.8605,Corporation,840.0,,,,
HTFF Reit Inc,Alabama,Talladega,998 - NO FOREIGN INVESTOR LISTED,4194.0,2018.0,33.3801,-86.1659,Corporation,840.0,,,,
HTFF Reit Inc,Georgia,Hancock,998 - NO FOREIGN INVESTOR LISTED,3968.0,2018.0,33.2704,-83.0007,Corporation,840.0,,,,
"Bruenning's Breeze Wind Farm, LLC",Texas,Willacy,999 - NO PREDOMINANT COUNTRY CODE,17298.34,2016.0,26.4693,-97.6632,Other,840.0,,,,
Rubisco US Farmland Blocker LLC,California,Tulare,998 - NO FOREIGN INVESTOR LISTED,183.0,2021.0,36.2202,-118.8005,Other,840.0,,,,
"CHOWCHILLA INVESTMENTS, INC.",California,Fresno,999 - NO PREDOMINANT COUNTRY CODE,2134.0,1998.0,36.7582,-119.6493,Corporation,840.0,,,,
Blackshirt Feeders LLP,Nebraska,Dundy,998 - NO FOREIGN INVESTOR LISTED,2080.0,2023.0,40.1762,-101.6879,Partnership,840.0,0.0,0.0,0.0,0.0
"Raymond Wind Farm, LC",Texas,Willacy,999 - NO PREDOMINANT COUNTRY CODE,11925.22186,2019.0,26.4693,-97.6632,Other,840.0,,,,
HTFF Reit Inc,Georgia,Atkinson,998 - NO FOREIGN INVESTOR LISTED,4522.0,2018.0,31.2971,-82.8801,Corporation,840.0,,,,
HTFF Reit Inc,Georgia,Taliaferro,998 - NO FOREIGN INVESTOR LISTED,3269.0,2018.0,33.5661,-82.8788,Corporation,840.0,,,,
Global Ag Properties USA LLC,California,Ventura,999 - NO PREDOMINANT COUNTRY CODE,408.7,2012.0,34.4561,-119.0836,Other,840.0,0.0,0.0,0.0,0.0
"SWIFT CURRENT LAND & CATTLE, L.L.C.",Arizona,Santa Cruz,999 - NO PREDOMINANT COUNTRY CODE,954.0,2007.0,31.526,-110.8465,Partnership,0.0,,,,
"West Raymond Wind Farm, LLC",Texas,Willacy,999 - NO PREDOMINANT COUNTRY CODE,11244.86249,2019.0,26.4693,-97.6632,Other,840.0,,,,
"ARKANSAS BAYOU FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,3318.0,2013.0,33.267,-91.2937,Other,840.0,,,,
"Renwood Ranch, LLC",California,Amador,999 - NO PREDOMINANT COUNTRY CODE,415.09,2013.0,38.4464,-120.6511,Other,840.0,,,,
"FLO FUND DOMESTIC, LLC",South Carolina,Clarendon,998 - NO FOREIGN INVESTOR LISTED,3240.0,2015.0,33.6658,-80.2164,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Ford,998 - NO FOREIGN INVESTOR LISTED,1080.02,2015.0,40.5972,-88.2233,Other,840.0,,,,
Global Ag Properties USA LLC,Indiana,Clinton,999 - NO PREDOMINANT COUNTRY CODE,847.0,2012.0,40.3017,-86.4751,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,Warren,998 - NO FOREIGN INVESTOR LISTED,1265.0,2013.0,40.8488,-90.615,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,1861.18,2016.0,34.2683,-91.9304,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,1714.16,2015.0,34.2683,-91.9304,Other,840.0,,,,
"BOUNDARY LINE FARMS, LLC",Louisiana,Richland,998 - NO FOREIGN INVESTOR LISTED,1378.02,2014.0,32.4178,-91.7635,Other,840.0,,,,
"Champion Valley Farm, LLC",Nebraska,Chase,999 - NO PREDOMINANT COUNTRY CODE,1212.0,2021.0,40.5242,-101.698,Other,840.0,,,,
"Green Plains Cattle Company, LLC",Kansas,Seward,999 - NO PREDOMINANT COUNTRY CODE,2600.0,2020.0,37.1933,-100.8513,Other,840.0,,,,
Risland Prosper 221 LLC,Texas,Collin,998 - NO FOREIGN INVESTOR LISTED,76.131,2017.0,33.188,-96.5724,Other,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Alabama,Clay,999 - NO PREDOMINANT COUNTRY CODE,3859.0,2013.0,33.269,-85.8605,Partnership,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Vermilion,998 - NO FOREIGN INVESTOR LISTED,757.67,2016.0,40.1834,-87.7328,Other,840.0,,,,
"WILLOWDALE FARMS, LLC",Nebraska,Holt,998 - NO FOREIGN INVESTOR LISTED,7458.0,2013.0,42.4557,-98.7838,Other,840.0,,,,
"FAF Farms USA,, INC.",Florida,Highlands,999 - NO PREDOMINANT COUNTRY CODE,1297.49,2021.0,27.3433,-81.341,Corporation,840.0,,,,
"HTFF SE-T, LLC",South Carolina,Darlington,998 - NO FOREIGN INVESTOR LISTED,4776.0,2023.0,34.3325,-79.9577,Other,840.0,0.0,0.0,0.0,0.0
HTFF Reit Inc,Alabama,Shelby,998 - NO FOREIGN INVESTOR LISTED,3665.0,2018.0,33.2643,-86.6607,Corporation,840.0,,,,
"Big Berry Bayou Farms, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,1384.29,2013.0,33.267,-91.2937,Other,840.0,,,,
"MWF IV 4-States, LLC",Mississippi,Clarke,999 - NO PREDOMINANT COUNTRY CODE,3548.85,2018.0,32.0414,-88.6894,Other,840.0,,,,
"FWD Property Investors, LP",Texas,Tarrant,998 - NO FOREIGN INVESTOR LISTED,374.0,2008.0,32.7719,-97.2911,Partnership,840.0,,,,
"Bayer Production Supply, LLC",Hawaii,Maui,999 - NO PREDOMINANT COUNTRY CODE,102.74,2021.0,20.8596,-156.565,Partnership,840.0,,,,
"Powers Butte Energy Center, LLC",Idaho,Canyon,999 - NO PREDOMINANT COUNTRY CODE,281.0,2023.0,43.6251,-116.7093,Other,840.0,0.0,0.0,0.0,0.0
"Kingfisher Timber, LLC",Florida,Santa Rosa,999 - NO PREDOMINANT COUNTRY CODE,3393.87,2017.0,30.7004,-87.0219,Other,840.0,,,,
"Craters of The Moon Farms, LLC",Idaho,Butte,998 - NO FOREIGN INVESTOR LISTED,1751.52,2015.0,43.7229,-113.172,Other,840.0,,,,
"DIXON COUNTY FARMS, LLC",Nebraska,Dixon,998 - NO FOREIGN INVESTOR LISTED,1899.0,2013.0,42.4931,-96.8677,Other,840.0,,,,
"TIOGA DEVELOPMENT, LLC",Oregon,Curry,999 - NO PREDOMINANT COUNTRY CODE,1543.0,2016.0,42.4576,-124.1568,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Champaign,998 - NO FOREIGN INVESTOR LISTED,1001.0,2013.0,40.1401,-88.1992,Other,840.0,,,,
"BLENHEIM PROPERTIES, LTD.",Georgia,Coweta,998 - NO FOREIGN INVESTOR LISTED,3047.0,2016.0,33.3534,-84.7634,Other,840.0,,,,
"Crossett Solar Energy, LLC",Arkansas,Ashley,999 - NO PREDOMINANT COUNTRY CODE,870.5435,2021.0,33.1912,-91.7685,Other,840.0,,,,
HTFF Reit Inc,Florida,Flagler,998 - NO FOREIGN INVESTOR LISTED,3937.0,2018.0,29.4614,-81.3136,Corporation,840.0,,,,
"RED BRIDGE FARMS, LLC",Idaho,Jerome,998 - NO FOREIGN INVESTOR LISTED,3480.0,2013.0,42.6899,-114.2639,Other,840.0,,,,
"Monette Farms USA, Inc.",Montana,Hill,998 - NO FOREIGN INVESTOR LISTED,4180.0,2021.0,48.6282,-110.1112,Corporation,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Jasper,998 - NO FOREIGN INVESTOR LISTED,250.0,2013.0,41.023,-87.1161,Other,840.0,,,,
"WINEMILLER FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,2346.0,2013.0,33.267,-91.2937,Other,840.0,,,,
Global Ag Properties USA LLC,Illinois,Logan,999 - NO PREDOMINANT COUNTRY CODE,473.0,2012.0,40.1245,-89.3675,Other,840.0,,,,
"Broadwing Timber, LLC",Pennsylvania,Jefferson,999 - NO PREDOMINANT COUNTRY CODE,2427.348,2016.0,41.1282,-78.9994,Other,840.0,,,,
"WEST CENTRAL OHIO FARMS, LLC",Ohio,Pickaway,998 - NO FOREIGN INVESTOR LISTED,816.492,2014.0,39.6419,-83.0244,Other,840.0,,,,
FS San Augustine LLC,Texas,Jasper,998 - NO FOREIGN INVESTOR LISTED,2664.0,2018.0,30.744,-94.0251,Corporation,840.0,,,,
Global Ag Properties USA LLC,Arkansas,Mississippi,999 - NO PREDOMINANT COUNTRY CODE,1295.0,2012.0,35.7624,-90.0522,Other,840.0,,,,
"ARKANSAS BAYOU FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,1256.9,2014.0,33.267,-91.2937,Other,380.0,,,,
EVERGREEN TIMBERLANDS CORP.,Alabama,Randolph,998 - NO FOREIGN INVESTOR LISTED,6105.0,1980.0,33.2938,-85.4591,Corporation,840.0,,,,
Tyrrelton Farms LLC,North Carolina,Washington,998 - NO FOREIGN INVESTOR LISTED,888.8,2013.0,35.8225,-76.5775,Other,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Alabama,Talladega,999 - NO PREDOMINANT COUNTRY CODE,2916.0,2013.0,33.3801,-86.1659,Partnership,840.0,,,,
"B Grain Investment Group, LLC",Illinois,De Witt,998 - NO FOREIGN INVESTOR LISTED,707.91,2009.0,40.1746,-88.9041,Other,840.0,,,,
TASSA-HIGHLAND CORP.,California,Contra Costa,999 - NO PREDOMINANT COUNTRY CODE,233.0,1992.0,37.9192,-121.9275,Corporation,840.0,,,,
"DELTA CITY FARMS, LLC",Mississippi,Washington,998 - NO FOREIGN INVESTOR LISTED,1920.0,2013.0,33.2839,-90.9474,Other,840.0,,,,
OKEELANTA CORP.,Florida,Hendry,998 - NO FOREIGN INVESTOR LISTED,3202.0,1985.0,26.5535,-81.1659,Corporation,840.0,,,,
"Big Berry Bayou Farms, LLC",Louisiana,Morehouse,998 - NO FOREIGN INVESTOR LISTED,1168.24,2013.0,32.8202,-91.8018,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Champaign,998 - NO FOREIGN INVESTOR LISTED,820.0,2013.0,40.1401,-88.1992,Other,840.0,,,,
Brule River LLC,Wisconsin,Washburn,999 - NO PREDOMINANT COUNTRY CODE,8053.0,2017.0,45.8992,-91.7912,Other,840.0,,,,
"Menconhy Global Business, LLC",Arkansas,Conway,999 - NO PREDOMINANT COUNTRY CODE,1655.0,2021.0,35.2624,-92.7014,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,2055.0,2013.0,34.2683,-91.9304,Other,840.0,,,,
"WINEMILLER FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,1924.0,2013.0,33.267,-91.2937,Other,840.0,,,,
"Powers Butte Energy Center, LLC",Idaho,Ada,999 - NO PREDOMINANT COUNTRY CODE,208.0,2023.0,43.4511,-116.2412,Other,840.0,0.0,0.0,0.0,0.0
"Wineries Real Estate Holdings, Inc",California,Amador,999 - NO PREDOMINANT COUNTRY CODE,40.08,2011.0,38.4464,-120.6511,Corporation,840.0,,,,
SUNNYSIDE DAIRY LLC,Oregon,Harney,998 - NO FOREIGN INVESTOR LISTED,2536.0,2013.0,43.0641,-118.968,Other,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Alabama,Calhoun,999 - NO PREDOMINANT COUNTRY CODE,2418.5,2013.0,33.7714,-85.826,Partnership,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Oregon,Lane,999 - NO PREDOMINANT COUNTRY CODE,1440.0,2012.0,43.9387,-122.8479,Partnership,840.0,,,,
"New Creek Wind, LLC",West Virginia,Grant,998 - NO FOREIGN INVESTOR LISTED,5310.0,2015.0,39.1051,-79.1956,Corporation,840.0,,,,
"JACKSON COUNTY FARMS, LLC",Arkansas,Jackson,998 - NO FOREIGN INVESTOR LISTED,1730.0,2013.0,35.5992,-91.2145,Other,840.0,,,,
DOVEX FRUIT CO.,Washington,Douglas,999 - NO PREDOMINANT COUNTRY CODE,1034.0,2004.0,47.7361,-119.6918,Corporation,840.0,,,,
"SANDHURST INVESTMENTS, INC.",Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,200.0,1982.0,25.615,-80.5624,Corporation,840.0,,,,
"KILFLYNN FARM, LLC",Kentucky,Bourbon,998 - NO FOREIGN INVESTOR LISTED,417.15,2007.0,38.2067,-84.2171,Other,840.0,,,,
"GRIFFIN BAYOU FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,1710.0,2013.0,34.2683,-91.9304,Other,840.0,,,,
"SUNFLOWER COUNTY FARMS, LLC",Mississippi,Sunflower,998 - NO FOREIGN INVESTOR LISTED,1767.0,2013.0,33.6023,-90.5886,Other,840.0,,,,
Hancock Timberland Farmland Fund,Arkansas,Jefferson,999 - NO PREDOMINANT COUNTRY CODE,1340.25,2018.0,34.2683,-91.9304,Corporation,840.0,,,,
"VIRGINIA LAND & TIMBER, L.P.",Virginia,King and Queen,999 - NO PREDOMINANT COUNTRY CODE,928.0,1989.0,37.7186,-76.8953,Partnership,840.0,,,,
"LONG PRAIRIE FARMS, LLC",Arkansas,Lonoke,998 - NO FOREIGN INVESTOR LISTED,1150.39,2014.0,34.7543,-91.8888,Other,840.0,,,,
Moon Farms Ohio Partnership Ltd,Ohio,Fayette,998 - NO FOREIGN INVESTOR LISTED,439.802,2020.0,39.5599,-83.4561,Corporation,840.0,,,,
"Champion Valley Farm, LLC",Nebraska,Chase,999 - NO PREDOMINANT COUNTRY CODE,611.0,2021.0,40.5242,-101.698,Other,840.0,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,247.0,1999.0,37.9348,-121.2714,Other,0.0,,,,
"JACKSON COUNTY FARMS, LLC",Arkansas,Poinsett,998 - NO FOREIGN INVESTOR LISTED,1685.0,2013.0,35.574,-90.663,Other,840.0,,,,
"Forest City Farms, LLC",Illinois,Henry,998 - NO FOREIGN INVESTOR LISTED,634.28,2015.0,41.3531,-90.1314,Other,840.0,,,,
